Product,Issue,Company,State,Consumer disputed?,Cluster
Debt collection,"Loan modification,collection,foreclosure","Diversified Consultants, Inc.",CA,No,0
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",MO,No,16
Payday loan,Payment to acct not credited,"Cash America International, Inc.",VA,No,3
Credit reporting,Credit reporting company's investigation,"TransUnion Intermediate Holdings, Inc.",CA,Yes,5
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,RI,No,16
Mortgage,"Loan servicing, payments, escrow account",Embrace Home Loans Inc,FL,No,0
Student loan,Dealing with my lender or servicer,Nelnet,AZ,No,16
Bank account or service,Deposits and withdrawals,Fifth Third Financial Corporation,IN,Yes,12
Bank account or service,Using a debit or ATM card,Wells Fargo & Company,CA,Yes,15
Consumer Loan,Managing the loan or lease,Santander Consumer USA Holdings Inc,LA,No,13
Mortgage,"Application, originator, mortgage broker",Wells Fargo & Company,CA,Yes,15
Mortgage,"Loan servicing, payments, escrow account",Bank of America,NC,No,17
Credit reporting,Credit reporting company's investigation,Equifax,NV,No,0
Consumer Loan,Problems when you are unable to pay,Synchrony Financial,MD,No,2
Credit card,Identity theft / Fraud / Embezzlement,JPMorgan Chase & Co.,NY,No,7
Credit card,Overlimit fee,Capital One,IL,No,3
Bank account or service,"Account opening, closing, or management",Bank of America,GA,No,17
Bank account or service,"Account opening, closing, or management",Wells Fargo & Company,TX,No,9
Credit card,APR or interest rate,Synchrony Financial,CA,No,2
Bank account or service,"Account opening, closing, or management",Capital One,MD,Yes,10
Debt collection,"Loan modification,collection,foreclosure","Med-1 Solutions, LLC",IN,Yes,8
Consumer Loan,Managing the loan or lease,Hyundai Capital America,FL,Yes,1
Student loan,Can't repay my loan,AES/PHEAA,DE,No,11
Credit reporting,Credit reporting company's investigation,"TransUnion Intermediate Holdings, Inc.",NJ,No,14
Mortgage,"Loan servicing, payments, escrow account",State Farm Bank,MD,No,2
Credit card,Credit determination,Synchrony Financial,NC,No,2
Mortgage,"Loan servicing, payments, escrow account",Ocwen,CA,Yes,8
Bank account or service,"Account opening, closing, or management",BB&T Financial,VA,Yes,4
Mortgage,"Loan servicing, payments, escrow account",Bank of America,PA,No,17
Debt collection,Improper contact or sharing of info,"Check into Cash, Inc.",CA,No,3
Credit card,Collection debt dispute,Citibank,DC,No,3
Consumer Loan,Managing the loan or lease,Ally Financial Inc.,DE,Yes,4
Bank account or service,Using a debit or ATM card,JPMorgan Chase & Co.,CA,No,7
Credit card,Customer service / Customer relations,Discover,ME,No,0
Mortgage,"Application, originator, mortgage broker","Caliber Home Loans, Inc",FL,No,3
Credit reporting,Improper use of my credit report,"TransUnion Intermediate Holdings, Inc.",CA,No,14
Credit card,Billing statement,Bank of America,HI,No,17
Debt collection,"Loan modification,collection,foreclosure",Collection Service of Nevada,NV,No,3
Debt collection,Communication tactics,Receivables Performance Management LLC,IN,No,13
Student loan,Can't repay my loan,JPMorgan Chase & Co.,VA,No,7
Bank account or service,"Account opening, closing, or management",U.S. Bancorp,CA,Yes,15
Debt collection,Improper contact or sharing of info,GC Services Limited Partnership,MI,No,19
Debt collection,Improper contact or sharing of info,Discover,LA,No,0
Credit reporting,Credit reporting company's investigation,Experian,NC,No,0
Student loan,Can't repay my loan,ACS Education Services,VA,Yes,4
Mortgage,"Loan servicing, payments, escrow account",U.S. Bancorp,GA,No,14
Debt collection,"Loan modification,collection,foreclosure","States Recovery Systems, Inc.",AZ,No,2
Debt collection,"Loan modification,collection,foreclosure","Arnold Scott Harris, P.C.",IL,No,17
Mortgage,Credit decision / Underwriting,Bank of America,CA,No,17
Mortgage,"Loan servicing, payments, escrow account",USAA Savings,NC,No,14
Bank account or service,"Account opening, closing, or management",Bank of America,MS,No,17
Mortgage,Settlement process and costs,Wells Fargo & Company,CT,No,9
Consumer Loan,Problems when you are unable to pay,"Conn's, Inc.",TX,Yes,10
Mortgage,Settlement process and costs,Ocwen,NY,Yes,8
Bank account or service,Deposits and withdrawals,Citibank,NY,No,3
Bank account or service,Deposits and withdrawals,JPMorgan Chase & Co.,NY,No,7
Debt collection,Communication tactics,"Portfolio Recovery Associates, Inc.",MO,No,6
Bank account or service,Deposits and withdrawals,BB&T Financial,NC,Yes,4
Bank account or service,Problems caused by my funds being low,Wells Fargo & Company,CA,No,9
Credit reporting,Unable to get credit report/credit score,Equifax,IL,No,0
Student loan,Can't repay my loan,PNC Bank N.A.,FL,Yes,8
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,CO,Yes,15
Bank account or service,Deposits and withdrawals,Synchrony Financial,FL,No,2
Credit reporting,Unable to get credit report/credit score,Equifax,TX,No,0
Credit reporting,Improper use of my credit report,"TransUnion Intermediate Holdings, Inc.",TX,No,14
Credit card,Credit determination,Wells Fargo & Company,MA,No,9
Bank account or service,Problems caused by my funds being low,BB&T Financial,FL,No,17
Debt collection,Communication tactics,Amex,IN,No,11
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,MD,Yes,1
Mortgage,Settlement process and costs,"Cardinal Financial Company, LP",MI,Yes,10
Bank account or service,"Account opening, closing, or management",Wells Fargo & Company,FL,No,9
Bank account or service,"Account opening, closing, or management",Scottrade Bank,MO,No,13
Credit reporting,Unable to get credit report/credit score,Equifax,LA,No,0
Mortgage,"Loan servicing, payments, escrow account",FCI Lender Services Inc.,TX,Yes,12
Mortgage,"Application, originator, mortgage broker",Ditech Financial LLC,TX,Yes,12
Mortgage,"Loan servicing, payments, escrow account",Ocwen,CO,No,6
Bank account or service,Deposits and withdrawals,Capital One,FL,No,3
Credit card,Closing/Cancelling account,Citibank,TX,No,3
Bank account or service,Problems caused by my funds being low,Wells Fargo & Company,UT,No,9
Debt collection,"Loan modification,collection,foreclosure","Southwest Credit Systems, L.P.",TX,No,2
Debt collection,"Loan modification,collection,foreclosure","NRA Group, LLC",NY,Yes,8
Money transfers,Wrong amount charged or received,Moneydart Global Services Inc.,NJ,No,16
Credit reporting,Credit reporting company's investigation,Equifax,NC,No,0
Bank account or service,"Account opening, closing, or management",Wells Fargo & Company,AL,No,9
Mortgage,"Loan servicing, payments, escrow account",Ocwen,KS,Yes,8
Credit card,Customer service / Customer relations,Citibank,MN,No,3
Mortgage,"Loan servicing, payments, escrow account",Deval LLC,CA,Yes,12
Consumer Loan,Problems when you are unable to pay,Capital One,CT,Yes,10
Credit reporting,Unable to get credit report/credit score,Experian,FL,No,0
Debt collection,Communication tactics,"Hunter Warfield, Inc.",NJ,No,7
Mortgage,"Loan servicing, payments, escrow account",Bank of America,CA,Yes,4
Student loan,Getting a loan,"Navient Solutions, Inc.",WV,No,16
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,FL,No,9
Bank account or service,"Account opening, closing, or management",Citibank,NY,No,3
Credit card,Billing disputes,Synchrony Financial,AL,No,2
Credit card,Identity theft / Fraud / Embezzlement,Citibank,NV,No,3
Mortgage,"Loan servicing, payments, escrow account",Ocwen,OR,No,6
Bank account or service,Deposits and withdrawals,Bank of America,CA,No,17
Consumer Loan,Problems when you are unable to pay,"Coastal Credit, LLC",SC,No,3
Debt collection,Communication tactics,Synchrony Financial,DC,No,2
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,NC,Yes,1
Debt collection,False statements or representation,"Enhanced Acquisitions, LLC",IL,No,0
Consumer Loan,Problems when you are unable to pay,JPMorgan Chase & Co.,CA,Yes,1
Mortgage,"Loan servicing, payments, escrow account","SunTrust Banks, Inc.",FL,No,2
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,MO,No,16
Debt collection,False statements or representation,Wells Fargo & Company,CA,Yes,15
Debt collection,"Loan modification,collection,foreclosure","CCS Financial Services, Inc.",IL,Yes,10
Consumer Loan,Managing the loan or lease,Quality Acceptance llc,CA,No,13
Bank account or service,"Account opening, closing, or management",Bank of America,CA,No,17
Bank account or service,Problems caused by my funds being low,Bank of America,GA,No,17
Credit card,Billing disputes,Citibank,CA,Yes,10
Credit card,Credit line increase/decrease,JPMorgan Chase & Co.,NJ,No,7
Bank account or service,"Account opening, closing, or management",Bank of America,NC,Yes,4
Credit card,Billing statement,Bank of America,PA,Yes,4
Other financial service,Disclosures,"John C. Heath, Attorney at Law, PLLC",MA,No,7
Debt collection,Improper contact or sharing of info,Global Trust Management LLC,CA,No,19
Bank account or service,"Making/receiving payments, sending money","SunTrust Banks, Inc.",FL,No,2
Consumer Loan,Managing the loan or lease,GM Financial,MI,Yes,12
Mortgage,"Loan servicing, payments, escrow account","Citizens Financial Group, Inc.",CT,Yes,10
Debt collection,False statements or representation,BYL Collection Services,NY,No,17
Mortgage,Settlement process and costs,JPMorgan Chase & Co.,NJ,No,7
Credit reporting,Improper use of my credit report,Equifax,NY,No,0
Mortgage,"Loan servicing, payments, escrow account",PNC Bank N.A.,NJ,No,6
Bank account or service,Problems caused by my funds being low,Wells Fargo & Company,VA,No,9
Payday loan,Received a loan I didn't apply for,Speedy Cash Holdings,RI,No,2
Credit card,Cash advance fee,U.S. Bancorp,WI,No,14
Credit card,Identity theft / Fraud / Embezzlement,JPMorgan Chase & Co.,NY,No,7
Credit reporting,Improper use of my credit report,Experian,NY,Yes,12
Prepaid card,Fraud or scam,Bank of America,CA,Yes,4
Credit card,Collection practices,Citibank,MA,No,3
Credit card,Billing disputes,Amex,IL,No,11
Credit reporting,Unable to get credit report/credit score,"TransUnion Intermediate Holdings, Inc.",KY,No,14
Mortgage,Credit decision / Underwriting,"Ladera Lending, Inc",CA,No,7
Mortgage,"Loan servicing, payments, escrow account",PHH Mortgage,VA,No,6
Mortgage,Settlement process and costs,Ditech Financial LLC,CO,No,0
Credit card,Credit card protection / Debt protection,Barclays PLC,MI,No,17
Debt collection,Communication tactics,"Evergreen Acquistions, LLC",TX,No,0
Credit card,Closing/Cancelling account,Discover,PA,No,0
Mortgage,"Application, originator, mortgage broker",Guaranteed Rate,FL,Yes,1
Credit card,APR or interest rate,Wells Fargo & Company,SC,No,9
Mortgage,"Loan servicing, payments, escrow account",M&T Bank Corporation,CA,No,7
Mortgage,"Loan servicing, payments, escrow account",Ocwen,IL,No,6
Consumer Loan,Managing the loan or lease,"Dyck-O'Neal, Inc.",FL,No,0
Mortgage,"Loan servicing, payments, escrow account",21st Mortgage Corporation,CA,Yes,4
Mortgage,"Loan servicing, payments, escrow account",Bank of America,NC,No,17
Bank account or service,Using a debit or ATM card,Bank of America,CA,No,17
Consumer Loan,Problems when you are unable to pay,Security Finance,TX,No,13
Debt collection,False statements or representation,"Hammerman & Hultgren, P.C.",DE,No,19
Debt collection,Improper contact or sharing of info,"FMA Alliance, Ltd.",PA,No,0
Debt collection,Communication tactics,"Portfolio Recovery Associates, Inc.",TX,No,6
Mortgage,"Loan servicing, payments, escrow account",BOK Financial Corp,TX,No,17
Credit card,Identity theft / Fraud / Embezzlement,Citibank,NC,No,3
Bank account or service,Problems caused by my funds being low,Bank of America,MI,No,17
Mortgage,"Loan servicing, payments, escrow account",CIT Bank National Association,GA,Yes,10
Debt collection,Improper contact or sharing of info,Encore Capital Group,TN,No,0
Mortgage,"Loan servicing, payments, escrow account",Rushmore Loan Management Services LLC,MI,No,13
Credit card,Closing/Cancelling account,Synchrony Financial,TN,No,2
Bank account or service,Deposits and withdrawals,Bank of America,WI,No,17
Consumer Loan,Managing the loan or lease,Ally Financial Inc.,MI,No,11
Mortgage,"Loan servicing, payments, escrow account",Bank of America,NY,Yes,4
Debt collection,Communication tactics,"Portfolio Recovery Associates, Inc.",AZ,No,6
Debt collection,"Loan modification,collection,foreclosure",Capital One,NJ,No,3
Credit reporting,Unable to get credit report/credit score,Experian,FL,No,0
Mortgage,Settlement process and costs,"SunTrust Banks, Inc.",MD,No,2
Consumer Loan,Managing the loan or lease,American Honda Finance Corporation,AZ,Yes,4
Debt collection,Communication tactics,Amati & Associates LLC,DC,No,11
Debt collection,"Loan modification,collection,foreclosure",KelKris Associates Inc,KS,No,7
Credit card,Payoff process,Bank of America,MA,No,17
Mortgage,"Loan servicing, payments, escrow account",First American Financial Corporation,NV,Yes,12
Credit card,Identity theft / Fraud / Embezzlement,Bank of America,CT,No,17
Bank account or service,Deposits and withdrawals,Regions Financial Corporation,MS,No,13
Debt collection,False statements or representation,"EOS Holdings, Inc.",AL,No,0
Credit card,Delinquent account,JPMorgan Chase & Co.,DC,No,7
Mortgage,Credit decision / Underwriting,JPMorgan Chase & Co.,AZ,No,7
Credit card,Identity theft / Fraud / Embezzlement,Barclays PLC,WA,Yes,4
Mortgage,"Loan servicing, payments, escrow account",Bank of America,AZ,No,17
Bank account or service,"Account opening, closing, or management",Whitney Bank,NY,No,9
Mortgage,"Loan servicing, payments, escrow account",Ocwen,CA,No,6
Credit card,Closing/Cancelling account,Synchrony Financial,TX,No,2
Credit card,Late fee,Citibank,MO,No,3
Credit card,Advertising and marketing,Citibank,IL,No,3
Credit card,Closing/Cancelling account,Capital One,NY,Yes,10
Credit reporting,Unable to get credit report/credit score,Equifax,MI,No,0
Debt collection,"Loan modification,collection,foreclosure",Resurgent Capital Services L.P.,SC,No,13
Mortgage,"Application, originator, mortgage broker",Quicken Loans,NY,No,13
Debt collection,"Loan modification,collection,foreclosure",Ocwen,NJ,No,6
Credit reporting,Unable to get credit report/credit score,Equifax,FL,No,0
Credit reporting,Unable to get credit report/credit score,Experian,NC,No,0
Mortgage,"Loan servicing, payments, escrow account","Homebridge Financial Services, Inc.",TX,No,7
Bank account or service,Using a debit or ATM card,"Citizens Financial Group, Inc.",PA,No,3
Credit reporting,Improper use of my credit report,Experian,NY,Yes,12
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,FL,No,16
Debt collection,Communication tactics,"Northland Group, Inc.",ME,No,6
Consumer Loan,Managing the loan or lease,DriveTime,AL,No,0
Mortgage,"Loan servicing, payments, escrow account",Bank of America,CA,No,17
Bank account or service,Using a debit or ATM card,JPMorgan Chase & Co.,FL,No,7
Debt collection,False statements or representation,"Navient Solutions, Inc.",HI,No,16
Mortgage,"Loan servicing, payments, escrow account",PNC Bank N.A.,MI,Yes,8
Credit card,Identity theft / Fraud / Embezzlement,Capital One,GA,No,3
Credit card,Delinquent account,Bank of America,MA,No,17
Mortgage,"Loan servicing, payments, escrow account",Santander Bank US,PA,No,13
Mortgage,"Loan servicing, payments, escrow account",HSBC North America Holdings Inc.,NC,No,19
Debt collection,Communication tactics,World Acceptance Corporation,TX,No,9
Debt collection,"Loan modification,collection,foreclosure",Sunrise Credit Services Inc.,NH,No,2
Credit card,Billing disputes,TD Bank US Holding Company,VA,Yes,5
Consumer Loan,Managing the loan or lease,"Dyck-O'Neal, Inc.",CO,No,0
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,GA,No,16
Credit card,APR or interest rate,JPMorgan Chase & Co.,CA,No,7
Mortgage,"Loan servicing, payments, escrow account",Ocwen,CT,No,6
Credit card,Billing disputes,First National Bank of Omaha,CA,No,19
Debt collection,Communication tactics,"Optio Solutions, LLC",TX,No,6
Debt collection,Communication tactics,Performant Financial Corporation,NY,No,6
Debt collection,Communication tactics,Southern Management Corp,TX,No,2
Debt collection,Communication tactics,Discover,FL,Yes,12
Debt collection,Communication tactics,"The CBE Group, Inc.",TX,No,2
Debt collection,Improper contact or sharing of info,Ceannate,FL,No,3
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",AL,No,16
Consumer Loan,Managing the loan or lease,Santander Consumer USA Holdings Inc,SC,No,13
Debt collection,False statements or representation,"Credit Bureau Collection Services, Inc.",OH,No,3
Debt collection,Communication tactics,"BAM Financial, LLC",MS,No,17
Mortgage,"Application, originator, mortgage broker",Wells Fargo & Company,CA,Yes,15
Bank account or service,Problems caused by my funds being low,Bank of America,FL,No,17
Bank account or service,Deposits and withdrawals,Citibank,NY,No,3
Student loan,Dealing with my lender or servicer,AES/PHEAA,OH,No,11
Credit card,Advertising and marketing,JPMorgan Chase & Co.,NJ,No,7
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",TX,No,16
Bank account or service,"Account opening, closing, or management",PNC Bank N.A.,CT,No,6
Debt collection,False statements or representation,"NRA Group, LLC",HI,Yes,8
Bank account or service,"Account opening, closing, or management",Citibank,MA,No,3
Bank account or service,"Account opening, closing, or management",Fifth Third Financial Corporation,VA,No,0
Credit card,Customer service / Customer relations,TD Bank US Holding Company,OH,No,2
Debt collection,Communication tactics,Searay Portfolio Management,CA,Yes,18
Debt collection,"Loan modification,collection,foreclosure",AllianceOne Recievables Management,CA,No,11
Credit reporting,Credit reporting company's investigation,Equifax,VA,No,0
Credit card,Credit line increase/decrease,JPMorgan Chase & Co.,GA,No,7
Debt collection,"Loan modification,collection,foreclosure",Gurstel Chargo PA,MN,No,19
Credit card,Advertising and marketing,Wells Fargo & Company,NY,No,9
Mortgage,"Application, originator, mortgage broker",LoanDepot,WA,No,7
Credit card,Credit determination,Citibank,TX,Yes,10
Bank account or service,"Account opening, closing, or management",JPMorgan Chase & Co.,FL,Yes,1
Mortgage,"Loan servicing, payments, escrow account",Ocwen,NJ,No,6
Mortgage,Credit decision / Underwriting,Wells Fargo & Company,CA,Yes,15
Credit card,Billing disputes,Citibank,NY,No,3
Credit card,Closing/Cancelling account,JPMorgan Chase & Co.,TX,No,7
Student loan,Can't repay my loan,ACS Education Services,IL,No,11
Bank account or service,Problems caused by my funds being low,Ally Financial Inc.,PA,Yes,4
Credit card,Balance transfer,U.S. Bancorp,CO,No,14
Credit card,Billing disputes,Citibank,OR,No,3
Payday loan,Can't contact lender,Concord Resolution Inc (Closed),MS,No,3
Consumer Loan,Problems when you are unable to pay,MEI AUTO FINANCE INC,TX,No,7
Debt collection,"Loan modification,collection,foreclosure","Portfolio Recovery Associates, Inc.",TX,Yes,8
Bank account or service,"Account opening, closing, or management",Citibank,OH,Yes,10
Credit card,Customer service / Customer relations,HSBC North America Holdings Inc.,NY,Yes,1
Debt collection,Communication tactics,Gurstel Chargo PA,AZ,Yes,1
Mortgage,"Application, originator, mortgage broker","Caliber Home Loans, Inc",IA,Yes,10
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,CA,Yes,8
Credit card,Unsolicited issuance of credit card,JPMorgan Chase & Co.,NY,No,7
Bank account or service,"Account opening, closing, or management",U.S. Bancorp,SD,No,14
Payday loan,Applied for loan/did not receive money,Cottonwood Financial Ltd.,TX,No,3
Mortgage,"Application, originator, mortgage broker",Bank of America,TX,No,17
Bank account or service,Problems caused by my funds being low,Associated Bank,IA,No,17
Mortgage,"Loan servicing, payments, escrow account",Bank of America,NM,Yes,4
Mortgage,"Loan servicing, payments, escrow account",BBVA Compass,TX,Yes,4
Consumer Loan,Problems when you are unable to pay,Toyota Motor Credit Corporation,VA,No,14
Mortgage,"Loan servicing, payments, escrow account",Ocwen,PA,No,6
Mortgage,"Loan servicing, payments, escrow account",Capital One,OR,No,3
Debt collection,"Loan modification,collection,foreclosure",Resurgent Capital Services L.P.,MI,Yes,18
Debt collection,Communication tactics,Data Check of America LLC,FL,No,0
Debt collection,Taking/threatening an illegal action,"Javitch, Block & Rathbone LLC",OH,Yes,1
Bank account or service,"Account opening, closing, or management",Citibank,NJ,No,3
Credit card,Closing/Cancelling account,"Expert Global Solutions, Inc.",MA,No,0
Debt collection,"Loan modification,collection,foreclosure","Charlottesville Bureau of Credits, Inc",AL,Yes,10
Bank account or service,Deposits and withdrawals,Bank of America,CA,No,17
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,GA,No,7
Debt collection,Communication tactics,USAA Savings,NH,No,14
Debt collection,False statements or representation,"Portfolio Recovery Associates, Inc.",CA,No,6
Debt collection,False statements or representation,GC Services Limited Partnership,CA,Yes,12
Bank account or service,"Making/receiving payments, sending money",Bank of America,DC,No,17
Mortgage,"Loan servicing, payments, escrow account",Ocwen,TX,No,6
Student loan,Dealing with my lender or servicer,ACS Education Services,VA,No,11
Debt collection,Communication tactics,Allied Interstate LLC,MO,No,11
Credit card,Balance transfer,U.S. Bancorp,OH,No,14
Mortgage,Credit decision / Underwriting,Bank of America,FL,Yes,4
Consumer Loan,Managing the loan or lease,Wells Fargo & Company,FL,No,9
Debt collection,Improper contact or sharing of info,"Platinum Holdings Group, LLC",TX,No,6
Credit card,Delinquent account,Capital One,PA,No,3
Bank account or service,"Account opening, closing, or management","SunTrust Banks, Inc.",MD,No,2
Credit card,Billing disputes,Citibank,MA,Yes,10
Debt collection,"Loan modification,collection,foreclosure",Capital One,IL,No,3
Credit reporting,Credit reporting company's investigation,Equifax,AR,No,0
Money transfers,Fraud or scam,Wells Fargo & Company,NY,Yes,15
Bank account or service,Using a debit or ATM card,Comerica,OH,No,3
Consumer Loan,Taking out the loan or lease,Ally Financial Inc.,NY,No,11
Bank account or service,"Account opening, closing, or management",JPMorgan Chase & Co.,LA,No,7
Debt collection,"Loan modification,collection,foreclosure",Encore Capital Group,NY,No,0
Debt collection,Communication tactics,Allied Interstate LLC,MI,No,11
Credit card,Credit card protection / Debt protection,Capital One,NV,No,3
Credit card,Transaction issue,"PayPal Holdings, Inc.",PA,No,6
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,NJ,No,0
Debt collection,Communication tactics,Integrated Recovery Services,ID,No,7
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,GA,No,0
Debt collection,Improper contact or sharing of info,"Consolidated Management Group, LLC",CA,Yes,10
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,AZ,No,16
Mortgage,"Loan servicing, payments, escrow account","Select Portfolio Servicing, Inc",TX,No,13
Debt collection,Improper contact or sharing of info,"Hunter Warfield, Inc.",TX,Yes,1
Bank account or service,Deposits and withdrawals,Wells Fargo & Company,CA,No,9
Debt collection,Communication tactics,HSBC North America Holdings Inc.,CO,No,19
Bank account or service,Deposits and withdrawals,U.S. Bancorp,KY,No,14
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",CA,Yes,8
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,CA,Yes,12
Credit reporting,Unable to get credit report/credit score,Equifax,CA,No,0
Debt collection,"Loan modification,collection,foreclosure",Nationstar Mortgage,MD,No,16
Mortgage,"Loan servicing, payments, escrow account",Round Point Mortgage,AL,No,13
Debt collection,Communication tactics,"Westlake Services, LLC",TX,No,9
Bank account or service,"Account opening, closing, or management",U.S. Bancorp,MN,No,14
Bank account or service,Problems caused by my funds being low,TD Bank US Holding Company,PA,No,2
Debt collection,Communication tactics,Citibank,CA,No,3
Mortgage,Credit decision / Underwriting,"United Shore Financial Services, LLC",FL,Yes,15
Debt collection,"Loan modification,collection,foreclosure","R.M. Galicia, Inc.",CA,No,13
Prepaid card,Unauthorized transactions/trans. issues,"Empowerment Ventures, LLC",NJ,No,0
Credit card,APR or interest rate,Capital One,NY,No,3
Credit reporting,Credit monitoring or identity protection,Experian,TX,No,0
Debt collection,"Loan modification,collection,foreclosure","Expert Global Solutions, Inc.",NM,No,0
Credit card,Rewards,Synchrony Financial,AZ,No,2
Mortgage,"Loan servicing, payments, escrow account",Guild Mortgage,ID,No,19
Credit card,Billing disputes,Citibank,TX,Yes,10
Consumer Loan,Problems when you are unable to pay,Credit Acceptance Corporation,NY,No,3
Credit card,Billing disputes,Bank of America,CO,Yes,4
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,NC,No,16
Debt collection,"Loan modification,collection,foreclosure",Financial Management Solutions,VA,No,0
Consumer Loan,Problems when you are unable to pay,Santander Consumer USA Holdings Inc,FL,No,13
Mortgage,"Application, originator, mortgage broker",JPMorgan Chase & Co.,CA,No,7
Debt collection,False statements or representation,"Adler Wallach & Associates, Inc.",FL,No,11
Mortgage,Settlement process and costs,Ocwen,MO,Yes,8
Money transfers,Fraud or scam,MoneyGram,CT,No,16
Credit card,Credit line increase/decrease,Bank of America,CO,No,17
Debt collection,"Loan modification,collection,foreclosure","NRA Group, LLC",NY,Yes,8
Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,MD,No,0
Mortgage,"Loan servicing, payments, escrow account",The Huntington National Bank,PA,No,2
Bank account or service,Deposits and withdrawals,Bank of America,CA,No,17
Debt collection,Improper contact or sharing of info,"Hunter Warfield, Inc.",FL,No,7
Credit card,Transaction issue,Capital One,CA,Yes,10
Mortgage,Credit decision / Underwriting,"Fay Servicing, LLC",GA,Yes,12
Debt collection,Taking/threatening an illegal action,Capital One,NY,No,3
Mortgage,"Loan servicing, payments, escrow account",Citibank,MN,Yes,10
Credit card,Delinquent account,Capital One,IL,No,3
Bank account or service,"Making/receiving payments, sending money",Santander Bank US,PA,Yes,18
Credit card,Billing disputes,Citibank,CA,No,3
Mortgage,"Loan servicing, payments, escrow account",Bank of America,CA,No,17
Consumer Loan,Can't stop charges to bank account,"Mariner Finance, LLC",MD,No,7
Bank account or service,"Account opening, closing, or management",Old National Bank,WI,No,6
Mortgage,"Loan servicing, payments, escrow account",Bank of America,CA,No,17
Credit card,Identity theft / Fraud / Embezzlement,Synchrony Financial,NY,No,2
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,MI,No,7
Credit card,Delinquent account,U.S. Bancorp,WI,No,14
Credit card,APR or interest rate,Citibank,WA,No,3
Mortgage,"Loan servicing, payments, escrow account",Citibank,TX,No,3
Bank account or service,"Account opening, closing, or management",Ally Financial Inc.,CA,No,11
Credit reporting,Improper use of my credit report,"TransUnion Intermediate Holdings, Inc.",NJ,No,14
Bank account or service,Deposits and withdrawals,JPMorgan Chase & Co.,OR,No,7
Debt collection,Improper contact or sharing of info,Synchrony Financial,WI,No,2
Debt collection,"Loan modification,collection,foreclosure",Resurgent Capital Services L.P.,CA,No,13
Credit card,Billing statement,Synchrony Financial,IL,No,2
Student loan,Can't repay my loan,"Navient Solutions, Inc.",HI,No,16
Debt collection,Taking/threatening an illegal action,Credit Card Receivables Fund Incorporated,GA,Yes,10
Bank account or service,Problems caused by my funds being low,TCF National Bank,WI,No,2
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",CA,No,16
Credit card,Closing/Cancelling account,Citibank,TX,No,3
Bank account or service,Using a debit or ATM card,M&T Bank Corporation,NY,Yes,1
Mortgage,"Loan servicing, payments, escrow account",Bank of America,NC,Yes,4
Credit card,Late fee,Citibank,TX,No,3
Credit reporting,Credit reporting company's investigation,"Fidelity National Information Services, Inc. (FNIS)",GA,Yes,12
Credit card,Payoff process,Capital One,TX,No,3
Bank account or service,"Account opening, closing, or management",U.S. Bancorp,CO,No,14
Bank account or service,"Account opening, closing, or management",Regions Financial Corporation,NC,No,13
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",CA,No,16
Debt collection,Improper contact or sharing of info,"Asset Recovery Solutions, LLC",TX,No,17
Mortgage,"Loan servicing, payments, escrow account",Loan Care,WA,Yes,1
Bank account or service,Deposits and withdrawals,Discover,CA,No,0
Mortgage,"Application, originator, mortgage broker",Wells Fargo & Company,FL,Yes,15
Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,CA,Yes,8
Credit reporting,Improper use of my credit report,Experian,WA,Yes,12
Bank account or service,"Account opening, closing, or management",Scottrade Bank,CA,Yes,18
Credit card,Late fee,Barclays PLC,IL,No,17
Credit card,Billing disputes,JPMorgan Chase & Co.,FL,No,7
Mortgage,"Loan servicing, payments, escrow account",U.S. Bancorp,KS,Yes,15
Mortgage,"Application, originator, mortgage broker",Bank of America,FL,No,17
Credit card,Identity theft / Fraud / Embezzlement,Capital One,CA,No,3
Debt collection,Communication tactics,Penn Credit Corporation,NY,No,6
Consumer Loan,Managing the loan or lease,"Westlake Services, LLC",NV,No,9
Mortgage,"Loan servicing, payments, escrow account",Ocwen,MS,No,6
Credit card,Rewards,Bank of America,MD,No,17
