Product,Issue,Company,State,Consumer disputed?,Cluster
Credit reporting,Credit monitoring or identity protection,Equifax,CA,No,0
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,CA,No,9
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",FL,Yes,8
Bank account or service,"Account opening, closing, or management",Associated Bank,WI,No,17
Credit card,Identity theft / Fraud / Embezzlement,Capital One,GA,Yes,10
Credit card,Unsolicited issuance of credit card,Synchrony Financial,NY,No,2
Debt collection,"Loan modification,collection,foreclosure",NCSPLUS INCORPORATED,OH,No,16
Payday loan,Charged fees or interest I didn't expect,"Big Picture Loans, LLC",IN,No,17
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,GA,No,9
Mortgage,"Loan servicing, payments, escrow account",Bank of America,NH,No,17
Mortgage,"Loan servicing, payments, escrow account","United Shore Financial Services, LLC",FL,No,14
Student loan,Can't repay my loan,AES/PHEAA,WA,No,11
Student loan,Dealing with my lender or servicer,AES/PHEAA,VA,No,11
Payday loan,Applied for loan/did not receive money,"Enova International, Inc.",CA,No,0
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,FL,Yes,15
Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,PA,No,7
Mortgage,Credit decision / Underwriting,Ocwen,PA,No,6
Debt collection,"Loan modification,collection,foreclosure","CCS Financial Services, Inc.",NV,No,17
Debt collection,Improper contact or sharing of info,"Asset Recovery Solutions, LLC",NY,No,17
Mortgage,"Loan servicing, payments, escrow account",Round Point Mortgage,VA,Yes,18
Credit card,Credit reporting,Capital One,TX,No,3
Debt collection,Communication tactics,Performant Financial Corporation,TX,No,6
Mortgage,"Loan servicing, payments, escrow account",Guild Mortgage,UT,No,19
Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,FL,No,9
Mortgage,Credit decision / Underwriting,PHH Mortgage,IL,No,6
Debt collection,Communication tactics,Bank of America,FL,No,17
Consumer Loan,Taking out the loan or lease,Synchrony Financial,FL,Yes,5
Consumer Loan,Managing the loan or lease,"Prosper Marketplace, Inc.",NY,No,6
Payday loan,Can't stop charges to bank account,Moneyguard LLC,MO,No,16
Mortgage,"Application, originator, mortgage broker","Pine Court Holdings, LLC",OH,No,6
Debt collection,Communication tactics,Citibank,OH,No,3
Mortgage,"Application, originator, mortgage broker",Swan Financial Corporation,KY,No,2
Debt collection,"Loan modification,collection,foreclosure","Portfolio Recovery Associates, Inc.",CA,No,6
Mortgage,"Loan servicing, payments, escrow account",Ocwen,FL,No,6
Debt collection,Improper contact or sharing of info,"Portfolio Recovery Associates, Inc.",MI,Yes,8
Credit reporting,Unable to get credit report/credit score,Experian,WI,No,0
Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",MO,No,16
Bank account or service,"Account opening, closing, or management",BOK Financial Corp,CO,No,17
Mortgage,"Loan servicing, payments, escrow account",Specialized Loan Servicing LLC,MI,No,2
Credit reporting,Credit reporting company's investigation,Experian,FL,No,0
Credit reporting,Improper use of my credit report,"TransUnion Intermediate Holdings, Inc.",WV,No,14
Debt collection,False statements or representation,Encore Capital Group,IN,No,0
Debt collection,"Loan modification,collection,foreclosure","Credit & Collection Recovery Services, Inc.",AL,No,3
Bank account or service,"Account opening, closing, or management",M&T Bank Corporation,PA,Yes,1
Bank account or service,"Account opening, closing, or management",JPMorgan Chase & Co.,NV,No,7
